"Tanggal","temp_avg","hum_avg","wind_avg","rainfall","sunshine"
"08-07-2014","25.6","90","2","0","2.9"
"09-07-2014","27.2","78","2","6.7","7"
"10-07-2014","25.9","86","2","116.7","4.9"
"11-07-2014","26","83","2","0.7","5.5"
"12-07-2014","25.9","84","2","0","4.7"
"13-07-2014","23.8","95","2","0",""
"14-07-2014","25.9","70","3","8.8","8"
"15-07-2014","25.9","75","3","0","6.4"
"16-07-2014","25.6","84","2","5.6","5.6"
"17-07-2014","25.6","84","2","0","5.7"
"18-07-2014","25.8","83","2","1.2","6.4"
"19-07-2014","25.6","80","3","0.5","7.6"
"20-07-2014","26.4","84","2","0","6.4"
"21-07-2014","26.2","82","3","23.2","6.5"
"22-07-2014","26.2","84","2","6","8"
"23-07-2014","25.7","86","2","0.5","3.9"
"24-07-2014","25","83","2","0","4.9"
"25-07-2014","24.9","86","2","0","4.7"
"26-07-2014","25","87","2","29.2","4.6"
"27-07-2014","25","90","2","4.9","2.9"
"28-07-2014","25.5","84","2","0","8"
"29-07-2014","25.7","82","2","65.1","7.3"
"30-07-2014","26.2","80","2","0","7.9"
"31-07-2014","26.1","80","2","0.2","6.8"
"01-08-2014","26.1","78","2","2.3","6.5"
"02-08-2014","25.4","79","2","0","5.8"
"03-08-2014","26.3","82","2","1.5","5.4"
"04-08-2014","25.4","85","3","0","4.5"
"05-08-2014","25.8","78","2","35","6.5"
"06-08-2014","26.3","76","3","0","6.6"
"07-08-2014","26.1","78","3","0","6.1"
"08-08-2014","25.1","82","3","0","5.5"
"09-08-2014","26.3","78","3","0","6.6"
"10-08-2014","25.9","80","3","0","4.3"
"11-08-2014","24.7","88","2","0","3.6"
"12-08-2014","24.7","86","3","5.2","4.8"
"13-08-2014","25.7","78","2","16.1","7"
"14-08-2014","26.1","81","3","0","6.1"
"15-08-2014","25.7","82","3","85.8","5.9"
"16-08-2014","25.4","81","2","100.4","5.5"
"17-08-2014","25.7","76","2","0","5.9"
"18-08-2014","25.6","74","2","0","6.9"
"19-08-2014","25.6","77","2","0","6.5"
"20-08-2014","25.9","77","2","0","6.5"
"21-08-2014","26.3","80","2","0","6.3"
"22-08-2014","26.2","80","2","5.2","6.5"
"23-08-2014","26.7","79","3","0","5.2"
"24-08-2014","25.3","84","3","0","5.1"
"25-08-2014","26","81","3","147.3","5.3"
"26-08-2014","24.9","84","3","38.1","5.4"
"27-08-2014","25.6","78","3","5.1","5.9"
"28-08-2014","26.1","76","3","0","6.2"
"29-08-2014","24.4","88","3","62.5","4.7"
"30-08-2014","25.5","82","2","33.9","5.5"
"31-08-2014","25.8","82","2","0","4.8"
"01-09-2014","26.4","79","2","1.4","8"
"02-09-2014","26.8","81","3","0","8"
"03-09-2014","27.1","78","2","0","8"
"04-09-2014","26.5","78","2","0","7.8"
"05-09-2014","25.7","77","2","0","8"
"06-09-2014","25.8","75","3","0","7.9"
"07-09-2014","26.3","79","3","5","7.1"
"08-09-2014","26.2","78","3","0","6.9"
"09-09-2014","26.3","75","2","0","7.4"
"10-09-2014","25.9","78","2","0","7.6"
"11-09-2014","26.5","71","2","0","7.3"
"12-09-2014","26.2","68","2","0","6.7"
"13-09-2014","26.2","71","3","0","7.5"
"14-09-2014","27","68","2","0","7.5"
"15-09-2014","25.6","72","3","0","7.9"
"16-09-2014","26.3","66","3","0","8"
"17-09-2014","26.1","68","3","0","8"
"18-09-2014","26.1","74","3","0","8"
"19-09-2014","27","71","4","0","8"
"20-09-2014","25.9","80","3","0","5.7"
"21-09-2014","24.8","81","2","5.7","7.7"
"22-09-2014","27","63","3","4","8"
"23-09-2014","25.9","66","3","0","8"
"24-09-2014","27.4","61","3","0","8"
"25-09-2014","26","69","4","0","7.2"
"26-09-2014","26.7","64","2","0","7.8"
"27-09-2014","25.7","63","3","0","8"
"28-09-2014","26.2","74","3","0","7.1"
"29-09-2014","26.9","74","2","0","7.5"
"30-09-2014","26.1","77","3","5.7","7.6"
"01-10-2014","27.3","72","2","0","6.2"
"02-10-2014","27.3","75","3","0.2","7.5"
"03-10-2014","26.8","76","3","0","7.9"
"04-10-2014","27.2","68","3","4.7","8"
"05-10-2014","26.8","72","3","0","6.2"
"06-10-2014","26.5","74","3","0","5.1"
"07-10-2014","26.1","77","2","0.1","7"
"08-10-2014","26.2","78","3","0","7.1"
